e1,e2,label,group_id,platform,query
S003 DIY淨水組,S003 DIY淨水器替換濾心2入組 F003-5(適用S003/DS02/DS03系列濾心),0,9121777,pchome,3mwaterpurifier
SONY 索尼 WH-1000XM6 無線藍牙降噪耳罩式耳機,【SONY 索尼】WH-1000XM6(無線藍牙降噪 耳罩式耳機),1,14045919,pchome,sonyheadphones
Logitech 羅技 K120 有線鍵盤,【Logitech 羅技】K120 有線鍵盤,1,TP00014390002520,pchome,logitechkeyboard
SONY 索尼 WF-1000XM5 旗艦真無線藍牙耳機 玫瑰灰 (公司貨 保固12+6個月),SONY 索尼 WH-1000XM6 旗艦無線降噪耳機 (公司貨 保固12+6個月),0,11752537,pchome,sonyheadphones
BOOX 文石 Go 6 吋電子閱讀器 - 白色,BOOX 文石 Go 10.3 吋電子閱讀器 - 白色,0,13215591,pchome,reader
HyRead Gaze Mini + 6吋電子紙閱讀器 (石墨綠),HyRead Gaze Pro Note C 7.8吋彩色電子紙閱讀器(殼套組),0,14074175,pchome,reader
BOOX 文石 Go 6 吋電子閱讀器 - 白色,BOOX 文石 Go 10.3 吋電子閱讀器 - 白色,0,13715495,pchome,reader
SONY 索尼 [公司貨 保固 12 個月]WH-CH720N 無線降噪耳罩式耳機,SONY 索尼 ULT WEAR WH-ULT900N 無線重低音降噪耳機 (公司貨 保固 12 個月),0,TP00058280000161,pchome,sonyheadphones
MSI 微星 GeForce RTX 5070 12G GAMING TRIO OC 顯示卡,MSI 微星 RTX 5070 12G VENTUS 3X OC 顯示卡,0,13757805,pchome,rtx5070
ACER 宏碁 XV272U X1電競螢幕(27型/2K/200Hz/0.5ms/IPS),ACER 宏碁 SA322QK 美型螢幕(32型/4K/HDMI/DP/喇叭/VA),0,14191795,pchome,acerscreen
Dyson 戴森 V8 SV25 新一代無線吸塵器 升級版【福利品】,適用Dyson吸塵器 V8電池 4200mAh電池 SV10 SV25 HH15 SV10K BSMI合格,0,12677255,pchome,dysonvacuumcleaner
BOOX 文石 Go 6 吋電子閱讀器 - 白色,【BOOX 文石】Go 6 吋電子閱讀器(白色),1,13715495,pchome,reader
Dyson 戴森 V12 Detect Slim Fluffy SV46 輕量智能吸塵器(銀灰)(升級版配件/除螨機/原廠公司貨/二年保固),Dyson 戴森 V12s SV46 Detect Slim Submarine乾濕全能洗地吸塵器(黃)【福利品】,0,13666130,pchome,dysonvacuumcleaner
Ultra Luxe USB 3.2 Gen 1 隨身碟 256G(公司貨),Ultra Luxe USB 3.2 Gen 1 隨身碟 64G(公司貨),0,6822350,pchome,usb
ACER 宏碁 EK271 G 護眼抗閃螢幕 (27型/FHD/120Hz/1ms/IPS),ACER 宏碁 EK220Q H3 護眼抗閃螢幕 (22型/FHD/100Hz/1ms/VA),0,14212967,pchome,acerscreen
SONY 索尼 WH-1000XM6 無線藍牙降噪耳罩式耳機,SONY 索尼 WH-CH520真無線藍牙耳罩式耳機公司貨),0,14046597,pchome,sonyheadphones
S004淨水器專用濾心3US-F004-5(2年份超值2入組/適用A700),沐浴過濾器替換濾芯 (1入),0,4355328,pchome,3mwaterpurifier
HITACHI 日立 10坪內 尊榮變頻冷暖分離式冷氣RAC-63NP/RAS-63NTB,【HITACHI 日立】白金級安裝★9-10坪R32 一級能效 尊榮系列變頻冷暖分離式冷氣(RAC-63NP/RAS-63NTB),1,9727677,pchome,hitachiairconditioner
輝葉 Cway沙發按摩椅(腳底/小腿/溫熱/穴位按摩椅 HY-3078),輝葉 AI追夢椅(HY-5085) (智慧按摩椅/腿部搓揉/零重力),0,13845793,pchome,massagechair
SONY 索尼 ULT WEAR WH-ULT900N 無線重低音降噪耳機 (公司貨 保固 12 個月),SONY 索尼 WF-1000XM5 旗艦真無線藍牙耳機 (公司貨 保固 12+6 個月),0,12775416,pchome,sonyheadphones
S004廚下型可生飲淨水器+前置PP過濾系統超值組(S004+PP+新型鵝頸龍頭),-前置PP過濾系統(3PS-S001-5 SQC),0,3190580,pchome,3mwaterpurifier
BOOX 文石 Go 7 吋電子閱讀器 - 白色,BOOX 文石 Go 6 吋電子閱讀器 - 白色,0,14073067,pchome,reader
BenQ 明基 TK705i 4K 3000 流明 智慧調光投影機 低延遲三坪機,【BenQ】TK705i 4K 3000 流明 智慧調光投影機 低延遲三坪機,1,14341997,pchome,projector
LONEPINE 加大款 可機洗帶帽信封睡袋 軍風限定/睡袋/四季/保暖/露營 (兩色任選),Naturehike LW180可拼接迷你信封睡袋 加大款,0,14170949,pchome,sleepingbag
S003櫥下型可生飲淨水器+前置PP系統(原廠到府安裝+鵝頸龍頭),沐浴過濾器替換濾芯 (1入),0,1305616,pchome,3mwaterpurifier
DS04 DIY可生飲長效型淨水器(S003.DS03升級款/雙效抑垢配方/內附配件包),沐浴過濾器替換濾芯 (1入),0,12599991,pchome,3mwaterpurifier
PHILIPS 飛利浦 亮白隨行智能鑽石音波電動牙刷-藍鑽 HX9911/62,歐樂B 飛利浦 Philips 通用款 電動牙刷 刷頭 帶鎖扣外出攜帶盒 收納盒 保護硬殼 旅行硬盒,0,TP00048420000874,pchome,philipstoothbrush
MSI 微星 PRO MP251W E2 美型螢幕(25型/FHD/HDMI/IPS/喇叭),5入組★【MSI 微星】PRO MP251W E2 25型 IPS 120Hz 美型螢幕(內建喇叭/TUV護眼),1,14400353,pchome,msiscreen
Logitech 羅技 MX Master 3S 無線滑鼠 FOR MAC-石墨灰,Logitech 羅技 MX Master 2S 無線智能滑鼠 黑色,0,10254365,pchome,logitechmouse
ACER 宏碁 EK241Y P6 24型 IPS 144Hz 電腦螢幕,ACER 宏碁 KA242Y P6 24型 IPS 144Hz 電腦螢幕,0,14443458,pchome,acerscreen
HyRead Gaze Mini+ 6吋電子紙閱讀器,Readmoo 讀墨 7 吋 mooInk Nana 彩色電子書閲讀器,0,14361609,pchome,reader
S003淨水器替換濾心超值2入組(濾心型號:3US-F003-5),【3M】S003淨水器專用濾心3US-F003-5 一年份超值2入組(適用DS02/DS03系列濾心),1,4540510,pchome,3mwaterpurifier
Ultra Go Type-C 雙用隨身碟薰衣草紫64GB(公司貨),Ultra Go Type-C 雙用隨身碟薰衣草紫512GB(公司貨),0,12076983,pchome,usb
PHILIPS 飛利浦 電池式電動牙刷 薄荷綠 超輕便旅行盒(隨身攜帶 不需充電),【超優惠】副廠 電動牙刷頭(標準刷頭) HX3/6/9系列適用 1卡4入(相容飛利浦 PHILIPS 電動牙刷),0,12673689,pchome,philipstoothbrush
ZOTAC GeForce RTX 5070 Twin Edge OC 顯示卡,ZOTAC GAMING GeForce RTX 5070 SOLID OC 顯示卡,0,TP00027900000805,pchome,rtx5070
SONY 索尼 WF-1000XM5 旗艦真無線藍牙耳機 玫瑰灰 (公司貨 保固12+6個月),【SONY 索尼】WF-1000XM5真無線降噪入耳式耳機(公司貨),1,11786592,pchome,sonyheadphones
SONY 索尼 WH-1000XM6 無線藍牙降噪 耳罩式耳機 WHM6,SONY 索尼 WH-1000XM4 無線藍牙降噪 耳罩式耳機,0,TP00015680001739,pchome,sonyheadphones
ASUS 華碩 PRIME GeForce RTX 5070 12GB GDDR7 顯示卡,【ASUS 華碩】PRIME GeForce RTX™ 5070 12GB GDDR7 顯示卡,1,14012712,pchome,rtx5070
Kleenex 舒潔 三層極厚韌抽取衛生紙 100抽x20包/串,Kleenex 舒潔 平版衛生紙(400張x48包/箱),0,12632129,pchome,kleenextoiletpaper
Logitech 羅技 MX Master 3S 無線滑鼠-珍珠白,Logitech 羅技 MX Master 2S 無線智能滑鼠 黑色,0,10254365,pchome,logitechmouse
Dyson 戴森 SV18 Digital Slim Origin輕量無線吸塵器(輕量吸塵器/除螨機/原廠公司貨/二年保固),適用Dyson 乾濕兩用電動拖把 V7 V8 V10 V11 V15 Slim SV18 V12 吸塵器刷頭,0,12243367,pchome,dysonvacuumcleaner
S003 DIY淨水器替換濾心 F003-5(適用S003/DS02/DS03系列濾心),S003 WaterDuo DIY濾淨軟水雙效型生飲淨水器-鵝頸款 一年份濾心組(共含S003濾心x2+樹脂軟水濾心x3),0,9070473,pchome,3mwaterpurifier
Logitech 羅技 G515 TKL 輕薄有線機械式電競鍵盤 - 黑,Logitech 羅技 G Pro X TKL Rapid 磁性類比式鍵軸有線電競鍵盤,0,13062820,pchome,logitechkeyboard
Logitech 羅技 G G502 X 高效能電競滑鼠-白,Logitech 羅技 G Pro X SUPERLIGHT 2 無線輕量化電競滑鼠,0,10523058,pchome,logitechmouse
tokuyo 督洋 mini零重力玩美椅按摩椅 美臀款 TC-262B,tokuyo 督洋 睡摩智眠椅 按摩椅TC-730-AVS(皮革五年保固),0,10360355,pchome,massagechair
輝葉 追夢椅-石墨烯全新升級(HY-5083-1) (臀感按摩椅/小腿揉搓/零重力/溫熱),【輝葉】追夢椅PLUS石墨烯 HY-5083-1(臀感按摩椅/小腿揉搓/零重力/溫熱),1,7457453,pchome,massagechair
SONY 索尼 WH-1000XM6 旗艦無線降噪耳機 (公司貨 保固12+6個月),【SONY 索尼】WH-1000XM6 旗艦無線降噪耳機(台灣公司貨保固12+6),1,14180915,pchome,sonyheadphones
Dyson 戴森 V8 Focus Mattress origin HH15強勁無線除塵蟎機 手持吸塵器(原廠公司貨/二年保固),Dyson 戴森 V8 origin SV25 無線吸塵器(除螨機/全新升級版/原廠公司貨/二年保固),0,11211914,pchome,dysonvacuumcleaner
SONY 索尼 WF-1000XM5 主動式降噪真無線藍牙耳機 4色 (公司貨保固12+6個月),SONY 索尼 WH-1000XM6 旗艦無線降噪耳機 (公司貨保固12+6個月) WHM6,0,11658291,pchome,sonyheadphones
SONY 索尼 WH-1000XM6 無線藍牙降噪 耳罩式耳機 WHM6,SONY 索尼 WH-1000XM5 無線藍牙降噪 耳罩式耳機【公司貨保固12個月註冊延長6個月】,0,TP00072220000067,pchome,sonyheadphones
Logitech 羅技 MX Master 3S 無線滑鼠 FOR MAC-石墨灰,Logitech 羅技 MX Master 2S 無線智能滑鼠 黑色,0,10813757,pchome,logitechmouse
SONY 索尼 [公司貨 保固 12 個月]WH-CH720N 無線降噪耳罩式耳機,【SONY 索尼】WH-CH720N 無線藍芽 耳罩式耳機(4色),1,11127215,pchome,sonyheadphones
S004淨水器專用替換濾心2年份組,極淨倍智淨水系統SD390,0,4355328,pchome,3mwaterpurifier
SONY 索尼 WH-1000XM6 無線藍牙降噪耳罩式耳機,SONY 索尼 WH-CH520真無線藍牙耳罩式耳機公司貨),0,14091867,pchome,sonyheadphones
SONY 索尼 WF-C510 IPX4 防水 真無線藍芽耳機,SONY 索尼 WH-CH520真無線藍牙耳罩式耳機公司貨),0,13237332,pchome,sonyheadphones
MSI 微星 PRO MP272L 輕薄螢幕(27型/FHD/HDMI/IPS/1ms),MSI 微星 PRO MP252L 美型螢幕(25型/FHD/HDMI/IPS),0,TP00014390004904,pchome,msiscreen
CookPower 鍋寶 金鑽不沾鍋雙鍋輕鬆開伙組-玫瑰金(28炒+22湯+鏟),CookPower 鍋寶 七層壓鑄不沾鍋316不鏽鋼蜂巢炒鍋36CM-含蓋(IH/電磁爐適用),0,5578552,pchome,nonstickpan
Dyson 戴森 V12 SV46 Detect Slim Fluffy 輕量智能吸塵器(銀灰)【福利品】,Dyson 戴森 V12s SV46 Detect Slim Submarine乾濕全能洗地吸塵器(黃)【福利品】,0,12997698,pchome,dysonvacuumcleaner
ESD310P USB3.2/Type C 512GB 雙介面固態行動隨身碟/高速隨身碟-櫻花粉(TS512GESD310P),ESD310C USB3.2/Type C 256GB 雙介面固態行動隨身碟/高速隨身碟-太空黑(TS256GESD310C),0,11829114,pchome,usb
SONY 索尼 [公司貨 保固12個月] WH-CH720N 無線降噪耳罩式耳機,SONY 索尼 WI-OE610 Float Run 頸帶離耳式耳機 [Sony公司貨 保固12個月],0,TP00072310000332,pchome,sonyheadphones
Naturehike LW180可拼接迷你信封睡袋 加大款,Naturehike 晴天PL01可拼接迷你信封睡袋 加大款 WS026,0,9312478,pchome,sleepingbag
TOMICA 露營車組 TM21732 多美小汽車,【TOMICA】露營車組(小汽車),1,14151141,pchome,tomica
Dyson 戴森 V15 Detect Fluffy SV47 智慧無線吸塵器(除螨機/寵物家庭/原廠公司貨),Dyson 戴森 V12 SV46 Detect Slim Fluffy 輕量智能吸塵器(銀灰)【福利品】,0,12650155,pchome,dysonvacuumcleaner
HyRead Gaze Mini+ 6吋電子紙閱讀器(石墨綠) 收納套組,Readmoo 讀墨 7吋 mooInk Nana 彩色電子書閲讀器(玩轉Nana套組),0,14022101,pchome,reader
SONY 索尼 WF-1000XM5 旗艦真無線藍牙耳機 (公司貨 保固 12+6 個月),SONY 索尼 WH-1000XM5 主動式降噪旗艦藍牙耳機 公司貨 保固 12+6 個月,0,11786592,pchome,sonyheadphones
SONY 索尼 WH-1000XM6 旗艦無線降噪耳機 (公司貨 保固12+6個月),【SONY 索尼】WH-1000XM6 旗艦無線降噪耳機(台灣公司貨保固12+6),1,14180915,pchome,sonyheadphones
HyRead Gaze Mini+ 6吋電子紙閱讀器 (櫻花粉),Readmoo 讀墨 7 吋 mooInk Nana 彩色電子書閲讀器,0,13788203,pchome,reader
ACER 宏碁 SA243Y G0W 護眼螢幕(24型/FHD/120Hz/1ms/IPS),【Acer 宏碁】SA243Y G0B 護眼螢幕(24型/FHD/120Hz/1ms/IPS),1,13340048,pchome,acerscreen
S004淨水器替換濾心,【3M】S004淨水器替換濾心4年份/超值4入組(濾心型號:3US-F004-5),1,6075768,pchome,3mwaterpurifier
SONY 索尼 WF-C710N 真無線藍牙耳機 (公司貨 保固12個月),【SONY 索尼】WF-C710N 真無線藍牙耳機(台灣公司貨保固12個月),1,13901745,pchome,sonyheadphones
SONY 索尼 [公司貨 保固12個月] WH-CH520 無線藍牙耳罩式耳機,SONY 索尼 [公司貨 保固12個月] WH-CH720N 無線降噪耳罩式耳機,0,12638329,pchome,sonyheadphones
Kleenex 舒潔 頂級四層極絨厚抽取衛生紙(60抽8包*6串/箱),Kleenex 舒潔 平版衛生紙(400張x48包/箱),0,12756543,pchome,kleenextoiletpaper
ACER 宏碁 EK220Q H3 22型 護眼抗閃螢幕,ACER 宏碁 EK220Q E3 護眼抗閃螢幕(22型/FHD/HDMI/100Hz/IPS),0,13599135,pchome,acerscreen
TOMICA No.136 UD油罐車 TM136A4 超長型小汽車,TOMICA TOMICA NO.140 日本海上保安廳巡視船 TM140A5 超長型小汽車,0,13783108,pchome,tomica
HyRead Gaze Mini+ 6吋電子紙閱讀器,HyRead Gaze Mini+ 6吋電子紙閱讀器(石墨綠) 收納套組,0,14074175,pchome,reader
CASIO 卡西歐 10年電力金屬風計時手錶-黑 MWD-110HB-1BV,【CASIO 卡西歐】數位 指針 中性錶 手錶(MWD-110HB-1B),1,14085614,pchome,casiowatch
Logitech 羅技 MX Master 3S 無線滑鼠-珍珠白,Logitech 羅技 M170 無線滑鼠-珍珠白,0,10254365,pchome,logitechmouse
TOMICA R10 TM騎乘 皮卡丘寶貝球車『 玩具超人 』,【TOMICA】騎乘系列 皮卡丘寶貝球車(小汽車),1,13712930,pchome,tomica
PHILIPS 飛利浦 官方直營 Sonicare輕柔多效音波震動牙刷-小亮刷珍珠白 HX2491/01(送刷頭5入)(電動牙刷),【Philips 飛利浦】官方直營 Sonicare輕柔多效音波震動牙刷-小亮刷珍珠白 HX2491/01 送刷頭5入,1,11205132,pchome,philipstoothbrush
PHILIPS 飛利浦 Sonicare頂級尊榮AI智能音波震動牙刷 HX9996/12 (靜夜藍)(電動牙刷),歐樂B 飛利浦 Philips 通用款 電動牙刷 刷頭 帶鎖扣外出攜帶盒 收納盒 保護硬殼 旅行硬盒,0,9693599,pchome,philipstoothbrush
BOOX 文石 Go 7 吋電子閱讀器 - 黑色,BOOX 文石 Go 6 吋電子閱讀器 - 黑色,0,14073068,pchome,reader
MSI 微星 MAG 272URDF E16 平面電競螢幕 (27型/4K/HDR/160Hz/0.5ms/IPS),MSI 微星 MAG 274QF 平面電競螢幕 (27型/WQHD/HDR/180Hz/0.5ms/IPS),0,14142939,pchome,msiscreen
Logitech 羅技 K580 超薄跨平台藍牙鍵盤 石墨灰,Logitech 羅技 Pebble 2 Combo 無線藍芽鍵盤滑鼠組 石墨灰,0,13143970,pchome,logitechkeyboard
SONY 索尼 WH-1000XM5 主動式降噪耳罩式耳機,SONY 索尼 WF-C510真無線藍牙耳機(公司貨),0,10204540,pchome,sonyheadphones
SONY 索尼 WH-1000XM5 主動式降噪旗艦 藍牙耳機,SONY 索尼 WF-C700N多彩降噪真無線耳機,0,11453217,pchome,sonyheadphones
ACER 宏碁 XV272U F3 LED寬螢幕(27型/2K/300Hz/0.5ms/IPS/可旋轉),ACER 宏碁 XV272U X1 27型 200Hz 電競螢幕,0,12833944,pchome,acerscreen
BOOX 文石 Go 7 吋電子閱讀器 - 白色,BOOX 文石 Go 10.3 吋電子閱讀器 - 白色,0,14073067,pchome,reader
Logitech 羅技 G G713 美型炫光機械式鍵盤 - 觸感軸,Logitech 羅技 G G715 無線美型炫光機械式鍵盤 - 線性軸,0,10419053,pchome,logitechkeyboard
SONY 索尼 WH-1000XM5 無線藍牙降噪耳罩式耳機,SONY 索尼 WF-C700N多彩降噪真無線耳機,0,11515427,pchome,sonyheadphones
SONY 索尼 [ 公司貨 保固12+12]  WH-1000XM4  主動式降噪 無線藍牙耳機(智慧降噪 / 無線高音質 / 質感美型),SONY 索尼 [ 公司貨 保固 12 個月] WH CH520 無線藍牙耳罩式耳機,0,14144339,pchome,sonyheadphones
Kleenex 舒潔 棉柔厚韌三層抽取衛生紙 110抽X30包/箱_110抽增量版 加量不加價,【Kleenex 舒潔】棉柔厚韌三層抽取衛生紙 110抽x30包/箱(三層衛生紙),1,9025385,pchome,kleenextoiletpaper
SONY 索尼 WH-1000XM6 旗艦無線降噪耳機 (公司貨 保固12+6個月),SONY 索尼 LinkBuds Fit 真無線降噪耳機 WF-LS910N (公司貨 保固12+6個月),0,14046597,pchome,sonyheadphones
SONY 索尼 WF-C510 真無線藍牙耳機,SONY 索尼 WF-C710N 真無線藍牙耳機 (公司貨 保固12個月),0,13237333,pchome,sonyheadphones
Logitech 羅技 【Logitech 羅技】Keys-To-Go 2 平板藍牙鍵盤 星暮紫,【Logitech 羅技】Keys-To-Go 2 輕巧藍牙鍵盤(薰衣紫),1,13062814,pchome,logitechkeyboard
Logitech 羅技 MX Master 3S 無線滑鼠 FOR MAC-石墨灰,Logitech 羅技 MX Master 3S 無線滑鼠-珍珠白,0,10813757,pchome,logitechmouse
SONY 索尼 WH-CH520 無線藍牙 耳罩式耳機《公司貨註冊保固1年》,【SONY 索尼】WH-CH520 無線藍牙耳罩式耳機(公司貨 保固12個月),1,11115166,pchome,sonyheadphones
MSI 微星 Modern MD342CQPW 曲面美型螢幕 (34型/2K/HDMI/喇叭/VA),MSI 微星 MD342CQPW 曲面美型螢幕 (34型/2K/HDMI/喇叭/VA),0,13492596,pchome,msiscreen
MSI 微星 Modern MD342CQP 曲面美型螢幕 (34型/2K/HDMI/喇叭/VA),MSI 微星 Modern MD272QXPW 平面美型螢幕,0,13600921,pchome,msiscreen
S004淨水器濾心+樹脂濾心2入超值3件組(3US-F004 -5 *1+3RF-F001-5 *2),沐浴過濾器替換濾芯 (1入),0,8487458,pchome,3mwaterpurifier
MSI 微星 PRO MP275PG E14 美型螢幕(27型/FHD/144Hz/IPS/1ms),MSI 微星 PRO MP273L E14 美型螢幕(27型/FHD/HDMI/IPS/144Hz/1ms),0,14372153,pchome,msiscreen
Logitech 羅技 K650 無線鍵盤-石墨灰,Logitech 羅技 MK235無線滑鼠鍵盤組,0,TP00014390002541,pchome,logitechkeyboard
SONY 索尼 WH-1000XM6 旗艦無線降噪耳機 (公司貨 保固12+6個月),【SONY 索尼】WH-1000XM6(無線藍牙降噪 耳罩式耳機),1,14045919,pchome,sonyheadphones
ACER 宏碁 XZ322QU V3 曲面螢幕(32型/2K/180Hz/1ms/VA),ACER 宏碁 XV272U X1電競螢幕(27型/2K/200Hz/0.5ms/IPS),0,12540441,pchome,acerscreen
Logitech 羅技 M235n 無線滑鼠 藍色,Logitech 羅技 M170 無線滑鼠 玫瑰粉,0,11514634,pchome,logitechmouse
SONY 索尼 [公司貨 保固12個月] WH-CH520 無線藍牙耳罩式耳機,SONY 索尼 [公司貨 保固12個月] WH-CH720N 無線降噪耳罩式耳機,0,12638329,pchome,sonyheadphones
Ultra Luxe USB 3.2 Gen 1 隨身碟 256G(公司貨),Ultra Luxe Type-C 雙用隨身碟64GB(公司貨),0,6822350,pchome,usb
ACER 宏碁 【福利品】HA270 G0 電腦螢幕(27型/FHD/120Hz/1ms/IPS),【Acer 宏碁】HA270 G0 電腦螢幕(27型/FHD/120Hz/1ms/IPS),1,13022112,pchome,acerscreen
S003櫥下型淨水器+前置軟水系統超值組(共含S003濾心x1+軟水系統x1),極淨倍智淨水系統SD390,0,5911331,pchome,3mwaterpurifier
ASUS 華碩 華碩 TUF RTX5070 O12G GAMING 顯示卡,ASUS 華碩 TUF-RTX5070-O12G-GAMING 顯示卡+華碩 TUF GAMING P1 鼠墊,0,14195716,pchome,rtx5070
ACER 宏碁 SA272U G0W 超薄護眼螢幕(27型/2K/120Hz/1ms/IPS),ACER 宏碁 CS272K 智慧聯網螢幕(27型/4K/HDMI/喇叭/IPS),0,13658660,pchome,acerscreen
ACER 宏碁 VG240Y X1 電競螢幕(24型/FHD/200Hz/0.5ms/IPS),【Acer 宏碁】VG240Y X1 電競螢幕(24型/FHD/200Hz/0.5ms/IPS),1,13340054,pchome,acerscreen
SONY 索尼 WH-1000XM4 藍牙降噪耳罩式耳機-黑色《公司貨註冊保固2年》,【SONY 索尼 公司貨 保固12+12】WH-1000XM4 無線藍牙降噪耳罩式耳機(降噪藍芽耳機 / 會議專用),1,7965580,pchome,sonyheadphones
SONY 索尼 WH-1000XM4 無線藍牙降噪 耳罩式耳機,SONY 索尼 WH-1000XM6 無線藍牙降噪 耳罩式耳機,0,14144339,pchome,sonyheadphones
Logitech 羅技 G705 美型炫光多工遊戲滑鼠,【Logitech G】G705美型炫光多工遊戲滑鼠,1,10419054,pchome,logitechmouse
Kleenex 舒潔 萬用輕巧包抽取衛生紙(110+20抽x20包/串),【Kleenex 舒潔】萬用輕巧包抽取衛生紙110+20抽x20包x串,1,9710133,pchome,kleenextoiletpaper
SONY 索尼 耳罩式耳機 WH-1000XM5 藍牙無線 降噪 高音質【兩色】,SONY 索尼 WH-1000XM4 無線藍牙降噪 耳罩式耳機,0,10204540,pchome,sonyheadphones
BOOX 文石 Palma2 6.13 吋電子閱讀器 - 黑色,【BOOX 文石】Palma2 6.13 吋電子閱讀器(保護殼組),1,13883312,pchome,reader
MSI 微星 PRO MP273L E14 27型 144Hz 美型螢幕,【MSI 微星】PRO MP273L E14 27型 IPS 144Hz 美型螢幕(FHD/1ms MPRT/AMD FreeSync),1,14372152,pchome,msiscreen
Kleenex 舒潔 【舒潔】2串組-迪士尼(藍色) 雲柔舒適 抽取衛生紙  100抽x10包/串,Kleenex 舒潔 6串組-迪士尼(藍色) 雲柔舒適 抽取衛生紙 100抽x10包/串,0,13701004,pchome,kleenextoiletpaper
SONY 索尼 WH-1000XM5 無線藍牙降噪 耳罩式耳機【公司貨保固12個月註冊延長6個月】,【SONY 索尼】WH-1000XM5 主動式降噪旗艦 藍芽耳機(頂級降噪 極真音質 配戴舒適),1,10202358,pchome,sonyheadphones
HITACHI 日立 《精品冷專》變頻分離式冷氣 RAS-28YSP_RAC-28SP,HITACHI 日立 《精品冷專》變頻分離式冷氣 RAS-22YSP_RAC-22SP,0,10945154,pchome,hitachiairconditioner
MSI 微星 G255PF E2 平面電競螢幕 (25型/FHD/180Hz/1ms/IPS),【MSI 微星】G255PF E2 25型 FHD IPS 180Hz 電競螢幕(Adaptive-sync/1ms),1,13663731,pchome,msiscreen
SONY 索尼 WH-1000XM6 無線藍牙降噪 耳罩式耳機,SONY 索尼 WH-1000XM4 無線藍牙降噪 耳罩式耳機,0,14045919,pchome,sonyheadphones
HyRead Gaze Mini+ 6吋電子紙閱讀器(石墨綠) 側翻套組,HyRead Gaze Pro Note C 7.8吋彩色電子紙閱讀器(殼套組),0,14074211,pchome,reader
HyRead Gaze Mini + 6吋電子紙閱讀器 (石墨綠),HyRead Gaze Pro Note C 7.8吋彩色電子紙閱讀器(殼套組),0,14022101,pchome,reader
SONY 索尼 WH-1000XM6 旗艦無線降噪耳機 (公司貨保固12+6個月) WHM6,SONY 索尼 WF-1000XM5 主動式降噪真無線藍牙耳機 (公司貨保固12+6個月),0,14234064,pchome,sonyheadphones
Dyson 戴森 V8 Cyclone SV55 無線吸塵器 入門首選 (長達60分鐘續航力/可換電池式/單鍵電源控制/二年保固),Dyson 戴森 V8 SV25 新一代無線吸塵器 升級版【福利品】,0,12472962,pchome,dysonvacuumcleaner
SONY 索尼 WF-1000XM5 旗艦真無線藍牙耳機 玫瑰灰(公司貨 保固12+6個月),SONY 索尼 WH-1000XM6 旗艦無線降噪耳機 (公司貨 保固12+6個月),0,11658291,pchome,sonyheadphones
BOOX 文石 Go Color 7 (Gen II) 彩色電子閱讀器 - 黑色,BOOX 文石 Go 6 吋電子閱讀器 - 黑色,0,14073077,pchome,reader
Logitech 羅技 M240 靜音藍牙滑鼠 石墨灰,Logitech 羅技 MX Anywhere 3S 無線行動滑鼠 石墨灰,0,11513697,pchome,logitechmouse
BOOX 文石 Palma2 6.13 吋電子閱讀器 - 黑色,BOOX 文石 Go 6 吋電子閱讀器 - 黑色,0,13883462,pchome,reader
