e1,e2,label,group_id,platform
Bone / 原木擴香台 Wood Diffuser  喵喵貓,加利王Wuw TypeC To 3.5Mm / UsbC轉3.5Mm 音頻轉接線(X106),0,8974205,import
【ORIGINS 品木宣言】奇蹟抗痘面膜75ml(戴口罩也不怕長痘痘 線上百貨專櫃),奇蹟抗痘面膜(75ml),1,QEAC0X-A900AH8I5,momo
【WHOO 后】拱辰享陰陽洗顏乳/山茶花柔嫩潔膚蜜/雪白潔顏乳/津率享洗顏蜜-180ml任選(專櫃公司貨),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,DDADGV-A900GRDR8,momo
【SEAGATE 希捷】2入組 ★ IronWolf 8TB 3.5吋 7200轉 256MB NAS 內接硬碟(ST8000VN004),【IronWolf】那嘶狼 8TB 3.5吋NAS硬碟 (ST8000VN004),0,DRAB57-1900H4034,momo
【伊麗莎白雅頓】官方直營 HA白金澎潤保濕膠囊 30顆 Elizabeth Arden(保濕/玻尿酸/精華),《 伊莉莎白》HA白金澎潤保濕膠囊30顆,1,DDADO9-A900GRKWS,momo
【麥多多 Mcdodo】Crystal GaN 氮化鎵 67W 三孔2C1A 急速充電器,無限肌緻極璨甦活精華乳45ml+雪肌精無限肌緻極璨甦活精華露45ml,0,DYAOE4-A900HSTUU,momo
Bone / 原木擴香台 Wood Diffuser  米妮,【Bone 蹦克】原木擴香台米奇/米妮/熊抱哥/三眼外星人 四款可選(玩具總動員 Disney 擴香木 交換禮物),1,6322747,import
【Qgeem】TypeC八合一Pd/Usb/Hdmi/3.5Mm/Rj45/Sdtf多功能轉接器,【Kinyo】迷你陶瓷電暖器(Neh120),0,DCADJ5-A900B1VYB,import
【Acer 宏碁】特仕版 15.6吋電競筆電(Nitro V/ANV15-51-53QM/i5-13420H/16G+16G/512G+1TB SSD/RTX2050),無限肌緻極璨甦活精華乳45ml+雪肌精無限肌緻極璨甦活精華露45ml,0,DHABB9-A900HXALF,momo
【Acer 宏碁】特仕版 16吋電競筆電(Predator/PHN16-72-99HX/i9-14900HX/16G/512G+2TB SSD/RTX4060/Win11),GAMING GeForce RTX 4080 SUPER Trinity Black 16GB 顯示卡,0,DHABBA-A900H8OXN,momo
【皇覺】櫻花莓果牛軋雪Q餅5盒,【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,DBACFN-A900FG0YY,import
【澳洲 G&M】卡卡杜玻尿酸水潤潔面慕斯(3入組 150ml/瓶-專業級),【澳洲 】卡卡杜玻尿酸水潤潔面慕斯(3入組 150ml/瓶-專業級),1,DDAONT-A900BEE8K,momo
愛台灣 國旗造型半開防水斗篷風雨衣 超輕量 登山健行 通勤 台灣嚴選防水布料 紀念品,Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,7005982,import
【Sharp 夏普】30公升水波爐Aiot寶石紅(AxXw10TR),Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,DMBM0G-A900G418A,import
【LANCOME 蘭蔻】絕對完美黃金玫瑰修護眼霜 20ml(國際航空版),【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,DDAD0F-A900BNPQD,momo
【Msi 微星】Geforce Rtx 4070 Ventus 3X 12G 顯示卡,微星Msi Rtx 4070 12G Ventus 3X 顯示卡,1,DRADLA-1900GE7HJ,import
【SEAGATE 希捷】4入組 ★ IronWolf 8TB 3.5吋 7200轉 256MB NAS 內接硬碟(ST8000VN004),[4入組] 【IronWolf】(ST8000VN004) 8TB/7200轉/256MB/3.5吋/3Y,1,DRAB57-1900H403Q,momo
倍潔雅 抽取式衛生紙(100抽14包6袋/箱),Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,6780067,import
【植村秀】官方直營 黑米精萃潔顏油450ml(Shu uemura/黑油),Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,DDBH2F-A900HC5H8,momo
【Sunnylife】DJI OSMO ACTION 4 專屬全能套裝包 減震防刮(再送鋼化膜套裝組),拱辰享賦活保濕防曬露 13ML x 4,0,DGADJV-A900H40UX,momo
【BOSE】Ultra 開放式耳機 矽膠充電盒保護套 霧白色,"RootSku
DGCT19-A900H9IZF    Ultra 開放式耳機 霧白色
DGCT19-A900H9IZF    Ultra 開放式耳機 霧白色
Name: RootTitle, dtype: object",1,DGCT19-A900H9IZF,momo
日本Wpc. R003081 完美馬丁尼 快速穿脫成人雨衣斗篷 附收納袋,【Kiu】日本Kiu 機車/自行車雨衣斗篷 附收納袋 男女適用(203235 夜光格紋),0,10347480,import
【Canon】搭黑色墨匣★PIXMA MG3670 多功能相片複合機(經典黑),Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,DSAQC6-A900G8Q19,momo
【d program 敏感話題】潔膚乳新客組120g,敏感話題 潔膚乳N 120g,1,DDAD8F-A900GRGH4,momo
【i-Rocks】T07 Plus人體工學椅 專用椅墊 C07P,GAMING GeForce RTX 4080 SUPER Trinity Black 16GB 顯示卡,0,DCAK5G-A900FFE9Z,momo
I3微澱粉軟式法國乾酪長麵包1條(160G/條),Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,6456720,import
【Estee Lauder 雅詩蘭黛】特潤全能修護亮眼霜15ml(全方位擊退黑眼圈細紋),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,DDAD2P-A900GKR1X,momo
【ASUS 華碩】X1504VA-0021B1335U 15.6吋特仕筆電 （i5-1335U/8G+16G/1T/W11）,Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,DHABB0-A900GIGI8,momo
ブラボーユー 3.5Mm轉Usb(母)汽車Aux專用音頻轉接線,Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,7728331,import
【Lenovo】Tab P12 12.7吋 8G/256G WiFi TB370FU 平板電腦(鍵盤皮套組),Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,DYAMFE-A900H3H48,momo
【Mcdodo】麥多多 Aux車載藍牙音頻線 車用Usb音頻轉接線 Mp3適配器(3.5Mm音頻轉接器),【Mcdodo】麥多多 Aux車載藍牙音頻線 車用Usb音頻轉接線 Mp3適配器(3.5Mm音頻轉接器),0,DXAA6S-A900B7S6J,import
【Fisher Price 費雪】安撫睡眠無尾熊,【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,DEASS1-A900BV926,import
【CLARINS 克蘭詩】阿爾卑斯純淨潔顏乳_保濕125ml,無限肌緻極璨甦活精華乳45ml+雪肌精無限肌緻極璨甦活精華露45ml,0,DDCV4F-A900HP8WA,momo
【EVE LOM】全能深層潔淨霜 200ml(內附2條瑪姿林布 卸妝膏 平行輸入),全能深層潔淨霜 200ml,1,DDADG0-A900HMB5A,momo
【御華生】頂級濃燕盞2入+冰糖雪梨燕窩2入+蜂蜜80G 2入 禮盒組,【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,DSBE25-A900G94I0,import
【華陀扶元堂】冰糖純燕窩禮盒6瓶X2盒(60G/瓶),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,DBAX7G-A900BA4VL,import
Sampo聲寶陶瓷式定時電暖器 HxFh12P,Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,10656028,import
Lightning Iphone 轉 雙Lightning一分二轉接線  二合一充電音源線轉接頭,蘋果 3.5Mm 轉 Lightning 轉接線(Apple耳機 Iphone 轉接線 轉接可同時充電 聽歌通話 音頻轉接器),0,6682364,import
【Mio】原廠吸盤支架 C/6/7/8系列(適用C335 C430 C450 C582 C580 790 791S 856 887 890),【Mio】原廠後視鏡短支架 C/6/7/8系列(適用C335 C430 C450 C582 C580 790 791S 856 887 890),0,QCAB6G-A9009VRXB,import
Ns Switch Dobe 多角度摺疊充電底座,【Nintendo 任天堂】Ns Switch Dobe 多角度摺疊充電底座(Switch專用),0,10981733,import
【泰山】TwistWater扭世代環保水600mlx24入/箱,無限肌緻極璨甦活精華乳45ml+雪肌精無限肌緻極璨甦活精華露45ml,0,DBAG00-A47012471,momo
ANESSA 安耐曬 金鑽高效防曬露NA 5X版 60ml,粉澎潤睡美人晚安面膜 60ml,0,DDAD9U-A900HMO0P,momo
【皇覺】紅寶石蔓越莓牛軋雪Q餅5盒,皇覺 紅寶石蔓越莓牛軋雪Q餅5盒,1,DBACFN-A900FG2B9,import
即期品【WHOO 后】拱辰享氣津清顏霜 210ML〈保存期限至2025/06.專櫃公司貨〉,GAMING GeForce RTX 4080 SUPER Trinity Black 16GB 顯示卡,0,DDADGV-A9008YK1H,momo
【L’Occitane 歐舒丹】杏仁美膚油 100ML（國際航空版）,杏仁美膚油(100ml),1,DDCF0Y-A900HQ904,momo
【philosophy 肌膚哲理】純淨清爽3合1洗面乳 240ml(平行輸入),純淨清爽3合1洗面乳 240ml,1,DDADKO-A900HQ5S1,momo
BravoU 3.5Mm轉Usb Aux汽車專用音頻轉接線,BravoU 3.5Mm轉Usb Aux汽車專用音頻轉接線,0,9306121,import
Sampo聲寶陶瓷式定時電暖器 HxFh12P,Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,10656028,import
【Kiehl’s 契爾氏】超進化全能新生超級眼霜 28ml(國際航空版),Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,DDAD8M-A900G8PXL,momo
【SONY 索尼】WF-1000XM5 旗艦真無線藍牙耳機(公司貨 保固12+6個月),GAMING GeForce RTX 4080 SUPER Trinity Black 16GB 顯示卡,0,DYAQFN-A900GISCS,momo
【i-Rocks】T07 Plus人體工學椅 電腦椅 辦公椅 椅子,Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,DEBH2S-A900FC76P,momo
【Microsoft 微軟】Xbox Series S - 1TB 遊戲主機《碳黑版 Game Pass Ultimate》入門超值組,Series S《Game Pass Ultimate》入門超值組 + 任選第2支手把,0,DGBJCP-1900GMG9Z,momo
【WHOO 后】拱辰享賦活保濕防曬露 13ML x 4（專櫃公司貨）,黑米精萃潔顏油 50ML x 2,0,DDADGV-A900HQMTW,momo
【Sharp 夏普】30L Healsio水波爐/紅(AxXp10TR),【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,DMBJ0L-A900DYD3D,import
Usb立體聲音效卡轉3.5Mm耳麥,【Kinyo】迷你陶瓷電暖器(Neh120),0,10849334,import
倍潔雅 抽取式衛生紙(150抽X10包X6串/箱),【倍潔雅】柔軟舒適抽取式衛生紙(100抽84包/箱),1,10294967,import
【WHOO 后】津率享美妍3件組(滋養液+乳液+滋養膏-專櫃公司貨),津率享美妍3件組[滋養液+乳液+滋養膏]-公司貨,1,DDADGV-A900HEPXI,momo
Iwalk 加長版Lightning行動電源4500Mah 情人黑白配2人組 【Cd0186】,【Iwalk】四代 4500Mah口袋行動電源Lightning頭,1,10011976,import
【Nintendo 任天堂】NS 我的舞蹈教室 中文版(台灣公司貨-附預購特典),NS《我的舞蹈教室》中文版,1,DGBJCW-A900HJQV5,momo
【華陀扶元堂】冰糖純燕窩禮盒6瓶X2盒(60G/瓶),【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,DBAX7G-A900BA4VL,import
倍潔雅好韌真3層抽取式衛生紙100抽24包4袋(Pefc),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,8990597,import
【BOSE】Ultra 開放式耳機 黑色,Ultra 開放式耳機 黑色,1,DGCT19-A900H9J0E,momo
【EVE LOM】全能深層潔淨霜 100ml(國際航空版 內附1條瑪姿林布 卸妝膏),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,DDADG0-A900G7WJB,momo
【台灣霓虹】Usb立體聲音效卡轉3.5Mm耳麥,【台灣霓虹】Usb立體聲音效卡轉3.5Mm耳麥,0,DCAC1A-A900C0I8A,import
【Razer 雷蛇】BASILISK 巴塞利斯蛇 V3 Pro 無線滑鼠(無線充電 30K 感測器 光學滑鼠按鍵軸),Aukey Basix Pro Mini (PbWl01S) Pd快充 行動電源,0,DSBC0X-A900H7IPG,momo
【Lancome 蘭蔻】快速眼唇卸妝液 200ml(平行輸入),【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,DDAD0F-A900FYNDK,momo
【Asus 華碩】TufRtx4070O12GGaming 顯示卡,【Asus 華碩】Ph Geforce Rtx306012GV2 顯示卡,0,DRADKY-A900GBCKH,import
【SONY 索尼】WF-1000XM5 旗艦真無線藍芽耳機(台灣公司貨保固12+6),無限肌緻極璨甦活精華露160ml / 精華乳120ml - 任選一款 (正統公司貨),0,DYAQFN-A900GISCS,momo
【Rainbow彩虹全球3C】 Iphone 轉 3.5Mm音源線 Iphone音源轉接線,蘋果 3.5Mm 轉 Lightning 轉接線(Apple耳機 Iphone 轉接線 轉接可同時充電 聽歌通話 音頻轉接器),0,7528714,import
Hagibis鋁合金6合1 Usb3.0+Sd/Tf讀卡+Hdmi+Pd供電+3.5Mm音源口2021款,Hagibis鋁合金6合1 Usb3.0+Sd/Tf讀卡+Hdmi+Pd供電+3.5Mm音源口2021款,0,11140447,import
【皇覺】櫻花莓果牛軋雪Q餅1盒,皇覺 櫻花莓果牛軋雪Q餅1盒,1,DBDA01-A900FGFL4,import
專櫃 超緊顏多肽抗痕霜 15ml(國際航空版),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,DDAD6W-A900HORML,momo
【Marshall】Emberton II攜帶式藍牙喇叭/公司貨(鑄鋼黑),GAMING GeForce RTX 4080 SUPER Trinity Black 16GB 顯示卡,0,DCBU0G-A900HGA38,momo
【Panasonic 國際牌】498L一級能效智慧節能雙門變頻冰箱(NR-B493TG-W),無限肌緻極璨甦活精華露160ml / 精華乳120ml - 任選一款 (正統公司貨),0,DMBM2D-A900HX46L,momo
【SHARP 夏普】AQUOS sense7 6.1吋(6G/128G/高通驍龍695/5030萬鏡頭畫素),無限肌緻極璨甦活精華乳45ml+雪肌精無限肌緻極璨甦活精華露45ml,0,DYAW5O-A900HLX8R,momo
【Keola】經典手工雪Q餅 原味/麻辣花生/芒果/花生/可可  180克/包(任選6包),Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,DBDA01-A900G8V86,import
【美國Qgeem】TypeC九合一Pd/Usb/Hdmi/3.5Mm/Vga多功能轉接器,【美國Qgeem】TypeC九合一Pd/Usb/Hdmi/3.5Mm/Vga多功能轉接器,1,8369751,import
【美國Qgeem】TypeC八合一Pd/Usb/Hdmi/3.5Mm/Rj45/Sd/Tf轉接器,【美國Qgeem】TypeC八合一Pd/Usb/Hdmi/3.5Mm/Rj45/Sd/Tf轉接器,0,8325970,import
【SONY 索尼】ZV-1F Vlog 相機 - 單機(網紅新手/生活隨拍),[ 公司貨 保固18+6] ZV-1F Vlog 數位相機手持握把組合 白色,1,DGCM4Q-A900FNOHL,momo
【美國Qgeem】TypeC九合一Pd/Usb/Hdmi/3.5Mm/Rj45多功能轉接器,【美國Qgeem】TypeC九合一Pd/Usb/Hdmi/3.5Mm/Rj45多功能轉接器,1,DCADJ5-A900B4SMX,import
ブラボ一ユ一Switch Usb充電主機底座散熱冷卻風扇,ブラボ一ユ一Switch Usb充電主機底座散熱冷卻風扇,0,7771860,import
【HTC 宏達電】A級福利品 U23 pro 5G 6.7吋(12GB/256GB),U23 pro 5G (8G/256G) 6.7吋 1億畫素 智慧型手機,1,DYAWAB-A900HHT2W,momo
【SONY 索尼】ILCE-7CM2L α7C II+SEL2860 A7CM2L 變焦鏡頭 鏡頭組(公司貨),無限肌緻極璨甦活精華露160ml / 精華乳120ml - 任選一款 (正統公司貨),0,DGCM55-A900GOP2G,momo
【i-Rocks】i-Rocks T07 Plus 人體工學 電腦椅(#T07 Plus#i-Rocks#人體工學 電腦椅),Iphone Lightning 轉3.5Mm耳機音源轉接線 蘋果Apple轉接頭Iphone Xs Max Xr X 8 7 Plus,0,DEBH2S-A900FC76P,momo
【上野物產】台灣義美製作 原味貝果(540G±10%/6個/袋) X3袋,Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,7771063,import
【Whoo 后】拱辰享陰陽調和洗顏乳(180ml 專櫃公司貨),GAMING GeForce RTX 4080 SUPER Trinity Black 16GB 顯示卡,0,DDADGV-A9007H47M,momo
【Shu uemura 植村秀】黑米精萃潔顏油 450ML〈專櫃公司貨〉,黑米精萃潔顏油450ml (正統公司貨),1,DDBH2F-A900HC5H8,momo
Unisync 3.5Mm轉Usb2.0汽車專用Aux音源轉接器,Unisync 3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,7728331,import
【Energizer 勁量】勁能充 迅閃 UE20040PQ 22.5W 快充行動電源 20000mAh(安全設計 多重電路防護機制),ACULON T02 8X21 雙筒望遠鏡 賞鳥 演唱會 球賽 (白) 台灣代理商公司貨,0,DYAO8Z-A900HPF5L,momo
【BOSE】QuietComfort 消噪耳塞 矽膠無線充電盒保護套 黑色(通用 II / Ultra),加利王Wuw TypeC To 3.5Mm / UsbC轉3.5Mm 音頻轉接線(X106),0,DGCT19-A900G40HI,momo
日本Kiu 163900 黑色 標準成人空氣感有袖斗篷雨衣 附收納袋(男女適用),【Kiu】成人空氣感有袖斗篷雨衣(163900 黑色),1,9619873,import
【WHOO 后】官方直營 天氣丹華炫重生煥膚棉60片,GAMING GeForce RTX 4080 SUPER Trinity Black 16GB 顯示卡,0,DDADGV-A900HIALO,momo
Hagibis海備思TypeC轉4K Uhd/Vga/Usb/3.5Mm/Switch擴充轉接器,Hagibis海備思TypeC轉4K Uhd/Vga/Usb/3.5Mm/Switch擴充轉接器,0,11140446,import
【SONY 索尼】WF-1000XM5 旗艦真無線藍牙耳機(公司貨 保固12+6個月),無限肌緻極璨甦活精華露160ml / 精華乳120ml - 任選一款 (正統公司貨),0,DYAQFN-A900GISCS,momo
【LA MER 海洋拉娜】濃萃修復眼霜(15ml+按摩棒 專櫃公司貨),GAMING GeForce RTX 4080 SUPER Trinity Black 16GB 顯示卡,0,DDADEF-A900BZL5C,momo
【Sharp 夏普】31L 自動料理兼烘培水波爐(AxXs5T),【夏普Sharp】31公升Healsio水波爐(番茄紅) AxXs5T(R),1,DMBJ0L-A900AGIAY,import
【Hang】65000型 Pd5液晶顯示Pd+Qc 20W雙向快充行動電源,Hang 65000Mah Pd5液晶顯示Pd+Qc 20W雙向快充行動電源 戶外 露營 隨機色,0,DYAOCM-A900D1N46,import
【EVE LOM】全能深層潔淨霜 限定版 100ml,經典乳霜 100ml,0,DDADG0-A900G7WJB,momo
【Logitech 羅技】MX Anywhere 3S無線藍牙行動滑鼠(玫瑰粉),MX Anywhere 3S 無線行動滑鼠 玫瑰粉,1,DCBE2G-A900GHC2Y,momo
【Promate】Usb Type C To 3.5Mm 音源轉接頭(AuxlinkC),Promate Usb Type C To 3.5Mm 音源轉接頭(AuxlinkC),0,DYAPAI-A900B199C,import
倍潔雅 純萃柔感抽取式衛生紙(150抽X12包X5袋/箱),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,9455744,import
【Panasonic 國際牌】268公升一級能效雙門變頻冰箱(NR-B271TV-S1),GAMING GeForce RTX 4080 SUPER Trinity Black 16GB 顯示卡,0,DPAC1T-A900FLZQC,momo
【SONY 索尼】ILCE-7CM2L α7C II+SEL2860 A7CM2L 變焦鏡頭 鏡頭組(公司貨),【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,DGCM55-A900GOP2G,momo
【Lego 樂高】哈利波特系列 71043 Hogwarts Castle(積木 哈利波特),【Lego 樂高】哈利波特系列 71043 Hogwarts Castle(積木 哈利波特),0,QFAS59-A9009PETG,import
【Kiehl’s 契爾氏】激光極淨白淡斑精華 115ml 2入加大升級組(國際航空版),激光極淨白淡斑精華 115ml (2入組),1,DDADHO-1900HSYB4,momo
【Rainbow彩虹全球3C 】Rainbow轉接線 Iphone 轉 Lightning音源+Lightning充電 音源轉接線,【Ktnet】Gt2 TypeC 轉 3.5Mm 3合1 音源轉接線,0,8514762,import
【DELL 戴爾】14吋i5輕薄特仕筆電(Vostro V14-3440-R1608ATW-3Y-SP3/i5-1334U/32G/1TB SSD/W11P/灰/三年保),GAMING GeForce RTX 4080 SUPER Trinity Black 16GB 顯示卡,0,DHAI97-A900HFY1X,momo
Ns Switch 任天堂原廠 多角度摺疊充電底座(台灣公司貨),【Nintendo 任天堂】Ns Switch Dobe 多角度摺疊充電底座(Switch專用),1,10719976,import
Lightning Iphone 轉 雙Lightning一分二轉接線 二合一充電音源線轉接頭2入,加利王Wuw Iphone Lightning 轉接 3.5Mm Aux音源線 音頻傳輸線(R152)1M,0,6682364,import
【SONY 索尼】FE 16-35mm F2.8 GM II 超廣角變焦鏡頭 SEL1635GM2(公司貨 二年保固),【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,DGBS2L-A900GNKEF,momo
【CLINIQUE 倩碧】水磁場深層保濕晚安面膜100ml(活性蘆薈水夜間密集修護),【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,DDAD2Y-A90063F0T,momo
【Asus 華碩】DualRtx3060TiO8Gd6X 顯示卡,【Asus 華碩】TufRtx4070Ti12GGaming 顯示卡,0,DRADLX-A900G901C,import
【ARDEN 雅頓】精純滲透活膚21天霜75ml(國際航空版),【 伊麗莎白】21天霜 75ml (台灣專櫃貨),1,DDAD08-A900FMCQQ,momo
【L’Occitane 歐舒丹】官方直營 草本體香露50ml(體香膏),GAMING GeForce RTX 4080 SUPER Trinity Black 16GB 顯示卡,0,DDADPS-A900HRCJ3,momo
【DARPHIN 朵法】全效舒緩精華75ml(小粉紅),無限肌緻極璨甦活精華乳45ml+雪肌精無限肌緻極璨甦活精華露45ml,0,DDCV36-A900HQFOQ,momo
【Logitech G】G304 LIGHTSPEED 無線電競滑鼠(紫色),Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,DCBE2G-A900BXE4L,momo
【i-Rocks】T07 Plus人體工學椅 專用椅墊 C07P,T07  Plus人體工學椅 專用椅墊 C07P,1,DCAK5G-A900FFE9Z,momo
倍潔雅好韌真3層抽取式衛生紙Pefc(100抽12包/袋),【倍潔雅】好韌真3層抽取式衛生紙Pefc(100抽24包4袋/箱),1,8905770,import
